CSV Import Log - 2026-02-07T12:10:29.120278
Total papers attempted: 1614
Imported: 1431
Skipped: 171
Failed: 12

================================================================================

✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S266654682... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S09601... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03787... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03605... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S09596... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S23521... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/10/4/116... (incomplete)
✓ 📝 Added: https://onlinelibrary.wiley.com/doi/full/10.1002/adma.202402... (incomplete)
✓ 📝 Added: https://onlinelibrary.wiley.com/doi/full/10.1002/aenm.202401... (incomplete)
✓ 📝 Added: https://iopscience.iop.org/article/10.1149/1945-7111/ad2440... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03787... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S23521... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S037877532... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S20954... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S23521... (incomplete)
✓ 📝 Added: https://publications.jrc.ec.europa.eu/repository/handle/JRC1... (incomplete)
✓ 📝 Added: https://ieeexplore.ieee.org/abstract/document/10380230... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S09596... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S09601... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S23521... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S20954... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S259011682... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S2352152X2... (incomplete)
✓ 📝 Added: https://chemrxiv.org/engage/chemrxiv/article-details/6656457... (incomplete)
✓ 📝 Added: https://www.nature.com/articles/s41560-019-0356-8... (incomplete)
✓ 📝 Added: https://link.springer.com/article/10.1038/s41598-024-61596-0... (incomplete)
✓ 📝 Added: https://www.nature.com/articles/s44296-024-00011-1... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03605... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/10/5/164... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03787... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S23521... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/10/6/171... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03787... (incomplete)
✓ 📝 Added: https://www.nature.com/articles/s44172-024-00221-4... (incomplete)
✓ 📝 Added: https://ieeexplore.ieee.org/abstract/document/10542430... (incomplete)
✓ 📝 Added: https://link.springer.com/article/10.1007/s42154-023-00278-5... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S23521... (incomplete)
✓ 📝 Added: https://iopscience.iop.org/article/10.1149/1945-7111/ad4821/... (incomplete)
✓ 📝 Added: https://arxiv.org/abs/2405.20219... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S23521... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03062... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03062... (incomplete)
❌ Failed: https://www.sciencedirect.com/science/article/abs/pii/S03062... - [Errno 22] Invalid argument: 'data\\metadata.json'
✓ 📝 Added: https://www.tandfonline.com/doi/abs/10.1080/15435075.2024.23... (incomplete)
✓ 📝 Added: https://www.nature.com/articles/s41598-024-63160-2... (incomplete)
✓ 📝 Added: https://ieeexplore.ieee.org/abstract/document/10551640... (incomplete)
✓ 📝 Added: https://ieeexplore.ieee.org/abstract/document/10550193... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S23521... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S23521... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03062... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S266624852... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S23521... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S13506... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03062... (incomplete)
✓ 📝 Added: https://iopscience.iop.org/article/10.1149/1945-7111/ad5768/... (incomplete)
✓ 📝 Added: https://ieeexplore.ieee.org/abstract/document/10553640... (incomplete)
✓ 📝 Added: https://arxiv.org/abs/2406.06151... (incomplete)
✓ 📝 Added: https://publications.rwth-aachen.de/record/985923... (incomplete)
✓ 📝 Added: https://arxiv.org/abs/2405.12028... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S25901... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03787... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03787... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S295034502... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03787... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S037877532... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2673-706X/4/2/11... (incomplete)
✓ 📝 Added: https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S00092... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S23521... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S037877532... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/10/6/184... (incomplete)
✓ 📝 Added: https://onlinelibrary.wiley.com/doi/10.1002/aenm.202401644... (incomplete)
✓ 📝 Added: https://onlinelibrary.wiley.com/doi/10.1002/ente.202400494... (incomplete)
✓ 📝 Added: https://iopscience.iop.org/article/10.1149/1945-7111/ad6481... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S037877962... (incomplete)
✓ 📝 Added: https://iopscience.iop.org/article/10.1149/1945-7111/ad6376... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S037877532... (incomplete)
